population,latitude,longitude,Elevation,MAT,MCMT,PPT_wt,PPT_sp,PPT_sm,PPT_at,Nitrogen,CN,pH,Phosphore,Calcium,Magnesium,Sodium,Potassium,Iron,Aluminium,WHC,OC,SOM,Manganese,leaf_Otu0000001,leaf_Otu0000002,leaf_Otu0000003,leaf_Otu0000004,leaf_Otu0000005,leaf_Otu0000006,leaf_Otu0000008,leaf_Otu0000009,leaf_Otu0000010,leaf_Otu0000011,leaf_Otu0000012,leaf_Otu0000013,leaf_Otu0000014,leaf_Otu0000015,leaf_Otu0000016,leaf_Otu0000017,leaf_Otu0000018,leaf_Otu0000022,leaf_Otu0000023,leaf_Otu0000025,leaf_Otu0000027,leaf_Otu0000028,leaf_Otu0000029,leaf_Otu0000030,leaf_Otu0000031,leaf_Otu0000032,leaf_Otu0000033,leaf_Otu0000034,leaf_Otu0000035,leaf_Otu0000036,leaf_Otu0000037,leaf_Otu0000038,leaf_Otu0000042,leaf_Otu0000044,leaf_Otu0000051,leaf_Otu0000052,leaf_Otu0000057,leaf_Otu0000058,leaf_Otu0000063,leaf_Otu0000066,leaf_Otu0000067,leaf_Otu0000068,leaf_Otu0000070,leaf_Otu0000073,leaf_Otu0000074,leaf_Otu0000077,leaf_Otu0000078,leaf_Otu0000084,leaf_Otu0000089,leaf_Otu0000093,leaf_Otu0000094,leaf_Otu0000096,leaf_Otu0000100,leaf_Otu0000101,leaf_Otu0000109,leaf_Otu0000115,leaf_Otu0000116,leaf_Otu0000117,leaf_Otu0000120,leaf_Otu0000137,leaf_Otu0000152,leaf_Otu0000157,leaf_Otu0000179,leaf_Otu0000246,leaf_Otu0000365,root_Otu0000001,root_Otu0000002,root_Otu0000003,root_Otu0000004,root_Otu0000005,root_Otu0000006,root_Otu0000007,root_Otu0000009,root_Otu0000011,root_Otu0000016,root_Otu0000017,root_Otu0000019,root_Otu0000020,root_Otu0000021,root_Otu0000024,root_Otu0000026,root_Otu0000028,root_Otu0000030,root_Otu0000041,root_Otu0000046,root_Otu0000049,root_Otu0000050,root_Otu0000051,root_Otu0000058,root_Otu0000063,root_Otu0000064,root_Otu0000070,root_Otu0000075,root_Otu0000076,root_Otu0000100,root_Otu0000102,root_Otu0000114,root_Otu0000121,root_Otu0000122,root_Otu0000144,root_Otu0000146,root_Otu0000156,root_Otu0000163,root_Otu0000174,root_Otu0000199,root_Otu0000238,root_Otu0000258,root_Otu0000284,root_Otu0000989,richness_microbiota_leaf,Shannon_microbiota_leaf,PCOA1_microbiota_leaf,PCOA2_microbiota_leaf,richness_pathobiota_leaf,Shannon_pathobiota_leaf,PCOA1_pathobiota_leaf,PCOA2_pathobiota_leaf,richness_microbiota_root,Shannon_microbiota_root,PCOA1_microbiota_root,PCOA2_microbiota_root,richness_pathobiota_root,Shannon_pathobiota_root,PCOA2_pathobiota_root,plant_OTU1,plant_OTU3,plant_OTU4,plant_OTU7,plant_OTU8,plant_OTU10,plant_OTU15,plant_OTU16,plant_OTU18,plant_OTU20,plant_OTU27,plant_OTU46,plant_OTU49,plant_OTU65,plant_OTU67,plant_OTU71,plant_OTU72,plant_OTU78,plant_OTU83,plant_OTU87,plant_OTU88,plant_OTU100,plant_OTU109,plant_OTU113,plant_OTU114,plant_OTU132,plant_OTU136,plant_OTU143,plant_OTU145,plant_OTU146,plant_OTU147,plant_OTU149,plant_OTU154,plant_OTU159,plant_OTU179,plant_OTU192,plant_OTU196,plant_OTU198,plant_OTU202,plant_OTU203,plant_OTU204,plant_OTU216,plant_OTU223,plant_OTU234,plant_richness,plant_Shannon,plant_pcoa1,plant_pcoa2,plant_pcoa3
LUNA-A,43.339706,0.689839,283,10.11,-0.17,119.91,72.45,85.45,180.55,2.133,10.650,8.030,0.108,14.700,1.655,0.036,1.032,0.007,0.041,0.387,22.750,39.300,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,1,86,1,0,518,0,0,0,8,0,0,0,0,0,0,9,1.163175582,-0.04884,0.02859,-0.04076
LUZE-A,42.764683,1.752959,584,10.06,0.68,108.36,92.45,122.73,192.09,1.385,21.000,7.885,0.023,6.125,0.280,0.015,0.126,0.004,0.033,0.216,29.350,50.750,0.000,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.57406016,2.209605138,0.1165059338,-0.1296597454,2.27098673,0.4853672654,0.1518268939,-0.02580772599,12.15167143,2.093414573,0.1007121571,-0.1407171377,1.913884634,0.4506919543,0.1351186589,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,2,0,0,0,0,58,0,0,0,0,63,0,0,16,0,82,0,0,0,0,0,0,10,1.515675582,0.05237,-0.01272,-0.1366
LUZE-B,42.764419,1.753595,584,10.06,0.68,108.64,92.64,122.73,192.36,1.405,23.050,8.325,0.040,9.085,0.435,0.024,0.261,0.010,0.016,0.312,32.250,55.850,0.000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.61026016,2.176805138,0.1334249338,-0.1279597454,2.57536673,0.4076372654,0.1966368939,-0.149447726,11.10097143,2.165214573,0.0767021571,-0.1978671377,2.040194634,0.4807319543,0.2662586589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LUZE-D,42.764419,1.753595,584,10.06,0.68,108.64,92.64,122.73,192.36,1.310,19.950,8.375,0.041,8.485,0.218,0.035,0.162,0.015,0.023,0.244,26.150,45.200,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,88,0,0,0,0,3,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,5,0.977575582,-0.05339,-0.1051,-0.2227
LUZE-E,42.764683,1.752959,584,10.06,0.68,108.36,92.45,122.73,192.09,1.520,20.350,8.135,0.090,7.845,0.318,0.030,0.194,0.005,0.037,0.218,30.850,53.400,0.000,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11.33435016,1.903405138,0.1492649338,-0.04265974541,2.92948673,0.4996452654,0.2665368939,-0.07752772599,11.54577143,2.189414573,0.0768821571,-0.1607671377,2.035204634,0.4769819543,0.2727586589,0,0,0,0,4,0,12,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,7,0,55,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0,7,1.437345582,0.04337,0.01535,-0.1762
MARS-A,43.662542,0.718265,196,10.32,-0.05,126.64,71.82,88.18,176.45,2.320,9.945,8.090,0.451,15.550,2.510,0.033,2.160,0.003,0.033,0.435,23.150,40.050,0.000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.863360158,1.282405138,-0.4078450662,0.2329402546,1.54088673,0.2252572654,0.2722368939,-0.100607726,7.386371429,0.7896145733,-0.5032678429,0.2205328623,1.751814634,0.3564419543,0.01565865892,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MARS-B,43.662542,0.718265,196,10.32,-0.05,126.64,71.82,88.18,176.45,1.760,25.900,8.085,0.143,10.120,1.155,0.025,0.638,0.000,0.012,0.284,44.400,77.050,0.000,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.108960158,1.478405138,-0.2965450662,0.2182402546,2.26038673,0.4012272654,0.2161368939,-0.04863072599,9.914171429,1.596514573,-0.1398678429,0.1285328623,1.602814634,0.2763419543,0.04462865892,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,38,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,2,52,0,2,0,0,64,0,0,0,0,0,0,12,1.236175582,0.07948,-0.1564,0.1663
MART-A,43.202147,1.010976,266,10.42,0.04,109.55,72.91,89.36,175.82,1.910,16.550,7.445,0.073,8.290,0.499,0.165,0.286,0.003,0.024,0.231,31.500,54.500,0.008,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.41869016,2.042070138,0.3852549338,0.1634402546,3.13528673,0.3692572654,0.1001468939,-0.108577726,9.571371429,1.871314573,0.3731321571,0.1233328623,1.890524634,0.3673419543,-0.02024134108,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,48,242,12,0,0,1011,0,0,0,0,0,0,11,0.830275582,-0.06109,-0.1583,-0.2102
MASS-A,43.437536,0.579271,204,10.38,0.06,123.45,70.82,84.00,179.36,2.615,12.750,7.840,0.048,11.750,0.819,0.027,0.226,0.007,0.038,0.332,33.300,57.550,0.000,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.78096016,2.094325138,0.2715549338,0.02869025459,1.96778673,0.3988572654,0.1146768939,0.01400227401,10.02657143,1.965534573,0.2256321571,-0.05719413775,1.946454634,0.5646019543,0.1630986589,0,0,2,0,10,0,1,0,0,10,130,0,0,4,1,7,0,0,12,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,6,0,217,0,0,0,0,0,15,19,1.662175582,0.2088,0.05052,-0.01267
MAZA-A,43.497754,2.375372,242,10.61,0.25,194.45,92.91,90.73,223.64,2.855,30.000,7.865,0.106,12.950,0.962,0.031,0.495,0.004,0.038,0.296,85.550,148.000,0.000,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41136016,2.295205138,0.2396549338,0.1458402546,2.60536673,0.4444772654,0.1656968939,-0.138527726,10.11477143,2.051514573,0.2384321571,-0.05897513775,1.701914634,0.4037519543,0.1791286589,187,0,0,0,0,0,0,0,0,130,0,2,0,0,0,47,0,0,0,244,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,1,0,1,15,1.322005582,0.1714,0.1128,0.08829
MEDA-A,43.490485,0.461439,180,10.41,0.15,128.00,70.82,84.64,183.82,0.931,11.250,8.175,0.037,7.570,0.257,0.018,0.104,0.003,0.040,0.290,10.465,18.150,0.000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,11.95586016,2.119245138,0.2617549338,0.06634025459,2.46578673,0.4286872654,0.1910368939,-0.112077726,10.76537143,2.111514573,0.2496321571,-0.02743713775,1.897164634,0.4637419543,0.1096686589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2,0,0,45,0,0,0,9,0,0,8,1.222175582,-0.2372,-0.2301,-0.04579
MERE-A,42.656618,1.836221,1080,8.15,-0.54,124.73,103.64,139.73,220.00,3.755,12.700,7.000,0.121,13.400,1.032,0.018,0.429,0.011,0.060,0.353,47.800,82.650,0.010,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,12.52146016,2.131525138,0.1259949338,-0.1223597454,2.33958673,0.4358472654,0.05880689394,-0.02048772599,13.06657143,2.081814573,0.1068121571,-0.1724671377,1.913344634,0.4509419543,0.2278586589,2,0,1,1,0,0,0,0,0,0,1,0,2,17,0,62,0,0,6,0,0,0,323,29,0,0,0,121,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,11,23,1.749875582,0.2721,0.09533,-0.00982
MERE-B,42.656546,1.836175,1080,8.15,-0.55,124.73,103.64,139.73,219.91,1.260,12.200,7.930,0.199,8.270,0.164,0.037,0.194,0.010,0.067,0.240,15.300,26.500,0.000,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11.99216016,2.226005138,0.1399849338,-0.09663974541,2.56148673,0.4923572654,0.1895368939,-0.07629772599,11.52687143,2.149814573,0.0828821571,-0.1966671377,1.932724634,0.4580919543,0.09232865892,2,0,9,11,4,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,17,0,0,21,87,0,0,0,2,26,0,0,0,0,7,29,23,2.111375582,0.1434,-0.09487,-0.0088
MERV-A,43.720426,1.296824,156,10.61,0.05,114.36,71.09,81.36,161.45,0.495,11.000,8.455,0.062,8.975,0.902,0.045,0.256,0.005,0.045,0.294,5.470,9.485,0.000,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,11.35246016,2.109315138,0.3083549338,0.1372402546,2.98308673,0.6080572654,0.1334968939,-0.112487726,10.25427143,1.961644573,0.2618321571,-0.02744713775,1.970586634,0.5258319543,0.1000186589,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,13,0,37,0,1,0,0,0,0,0,0,0,0,34,0,9,0,0,102,1,0,0,0,0,0,11,1.435215582,0.08838,-0.234,0.1258
MERV-B,43.725141,1.247629,123,10.75,0.14,114.18,70.45,80.55,161.64,2.730,12.950,7.075,0.087,8.060,1.095,0.100,0.775,0.003,0.020,0.244,35.400,61.250,0.023,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,10.03216016,1.933405138,0.2837549338,-0.01508974541,2.12888673,0.3551572654,-0.1175631061,-0.193837726,9.888771429,2.028614573,0.2844321571,-0.03024713775,1.980324634,0.3948419543,0.09492865892,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,8,0,0,0,0,0,0,0,0,24,0,58,0,0,0,23,6,0,0,0,0,0,1,0,0,0,0,0,0,10,1.695375582,0.1398,0.01368,0.1451
MONB-A,43.465290,0.986273,231,10.35,-0.11,114.27,71.64,86.00,170.82,2.250,12.700,8.135,0.043,15.400,1.240,0.040,0.596,0.005,0.033,0.392,29.050,50.250,0.000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,13.54526016,2.286505138,0.03107493384,0.1447402546,2.37078673,0.2483572654,0.02124689394,-0.103027726,11.97777143,1.992454573,-0.1497678429,0.2128328623,1.903524634,0.3965619543,0.1783486589,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,50,143,0,0,3,0,0,9,1.140175582,-0.09055,0.06568,0.1362
MONE-A,44.115354,2.094725,405,9.64,-0.56,142.91,75.09,102.73,187.36,3.245,14.350,6.980,0.047,9.555,2.380,0.128,0.750,0.003,0.016,0.470,47.300,81.700,0.095,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.949860158,1.785305138,0.2359549338,-0.04313974541,2.36618673,0.5272972654,0.001956893941,-0.04538772599,9.715671429,2.001924573,0.2736321571,-0.03797713775,1.818414634,0.3940019543,0.1330886589,40,6,0,0,0,28,0,0,0,0,1,4,0,1,0,85,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,19,1.748175582,0.1921,0.1637,0.1502
MONF-A,43.616254,0.972435,209,10.35,-0.05,119.27,72.27,86.36,170.18,1.054,29.450,7.645,0.020,5.890,0.523,0.029,0.171,0.009,0.032,0.215,33.300,57.550,0.012,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.916560158,1.703905138,-0.1755450662,0.2175402546,2.12038673,0.3365572654,0.03886689394,-0.214237726,10.67697143,1.781114573,-0.2752678429,0.1916328623,1.867364634,0.4876919543,0.01865865892,1,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,91,7,6,0,44,0,29,0,0,7,0,0,0,0,0,0,17,0,0,0,0,0,6,13,1.675675582,0.1611,0.1315,-0.1806
MONT-A,43.852212,1.874320,156,10.66,0.14,131.91,69.45,82.00,175.09,1.245,12.400,6.450,0.048,5.115,0.903,0.026,0.835,0.003,0.044,0.441,15.350,26.550,0.040,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.16116016,2.241705138,0.05989493384,-0.1218597454,2.77778673,0.6483572654,0.03298689394,-0.09349772599,10.44780143,1.973504573,-0.0487678429,-0.1996671377,2.218314634,0.6470419543,0.01305865892,1,0,0,0,0,0,0,50,1,0,4,33,0,24,0,79,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,3,20,2.018375582,0.2162,0.07944,0.1354
MONT-B,43.852723,1.873536,156,10.65,0.13,131.91,69.45,82.00,175.00,1.270,11.200,6.810,0.032,5.910,1.250,0.033,0.676,0.000,0.039,0.426,14.300,24.700,0.048,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11.39077216,2.062975138,0.1222569338,0.09809025459,2.20428673,0.3593572654,-0.05446310606,-0.104207726,9.509571429,1.709814573,-0.1245678429,-0.08450713775,2.022524634,0.5585219543,0.1793986589,10,2,0,0,0,0,0,0,0,0,0,31,0,14,0,3,0,0,45,0,0,0,0,0,0,0,14,9,0,0,0,16,2,0,1,0,0,62,0,0,0,0,0,0,20,1.885375582,0.06244,-0.01729,-0.01851
MONTB-A,43.130495,1.269927,281,10.53,0.14,107.45,73.45,92.00,174.45,0.958,11.200,6.000,0.065,4.570,0.645,0.015,0.544,0.003,0.076,0.392,10.760,18.600,0.066,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.79156016,1.972965138,0.3412549338,-0.03619974541,3.64698673,0.6175572654,0.1553168939,-0.03761772599,12.64777143,2.346614573,0.3566321571,0.01918286225,2.038224634,0.5575219543,0.03345865892,1,0,0,0,0,0,6,0,6,1,5,6,0,1,0,0,0,0,39,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,8,0,0,56,0,1,0,0,0,0,16,1.599475582,0.0848,0.0211,0.08555
MONTG-B,43.127290,0.110681,437,9.46,-0.19,135.64,76.18,83.18,201.82,1.520,14.250,7.790,0.090,8.030,0.872,0.015,0.368,0.004,0.040,0.329,21.700,37.500,0.000,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,11.74456016,2.152405138,0.1736049338,0.03571025459,3.51588673,0.5715572654,0.03075689394,-0.03616772599,8.835771429,1.848584573,0.1027021571,-0.1513771377,2.041624634,0.4075819543,0.1425586589,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,31,0,0,0,3,0,0,0,0,10,5,0,57,0,4,1,0,13,0,1,0,0,216,0,0,0,11,1,0,19,1.541975582,0.1326,-0.159,-0.1383
MONTG-D,43.127713,0.110633,437,9.46,-0.19,135.64,76.18,83.18,201.82,2.095,11.200,6.725,0.099,7.780,0.981,0.030,0.717,0.014,0.085,0.368,23.500,40.600,0.014,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11.26016016,2.034945138,0.1523349338,-0.07947974541,2.47378673,0.4668072654,0.008776893941,-0.06091772599,10.43388143,2.128714573,0.1062821571,-0.1211571377,1.916974634,0.4516719543,0.1330386589,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,2,0,0,0,0,0,0,11,1.729775582,-0.1414,0.08105,-0.05381
